panel,drug,auc,lo,hi,n_act
PKIS2,GSK1581427,0.5337539992890152,0.4667499693082075,0.6007580292698229,97
PKIS2,GSK1581428,0.5093894597680428,0.4481847002521035,0.5705942192839822,129
PKIS2,GSK1627798,0.6487697085523172,0.5237201121789545,0.7738193049256799,23
PKIS2,GSK1645895,0.5876344086021505,0.43350029360063036,0.7417685236036707,15
PKIS2,GSK1649598,0.5642244022072348,0.5054739274244218,0.6229748769900478,154
PKIS2,GSK1653537,0.6184597295708407,0.42036419932795854,0.8165552598137229,9
PKIS2,GSK1653539,0.4570680628272251,0.2103810578964329,0.7037550677580173,5
PKIS2,GSK1660437,0.6355847849271241,0.5692902658954253,0.7018793039588229,97
PKIS2,GSK1660450,0.5127572016460905,0.45220181842995694,0.5733125848622241,135
PKIS2,GSK1669917,0.43533834586466164,0.23056315143154432,0.6401135402977789,7
PKIS2,GSK1669921,0.6297325102880659,0.5134434009049186,0.7460216196712132,27
PKIS2,GSK1693850,0.5469505082486252,0.4431887002146627,0.6507123162825877,34
PKIS2,GSK1723980,0.5804250224483688,0.5193646107462123,0.6414854341505253,130
PKIS2,GSK175726,0.6875331564986737,0.5025388021302966,0.8725275108670509,10
PKIS2,GSK1804250,0.6125959079283887,0.5496873152594097,0.6755045005973677,115
PKIS2,GSK189015,0.5326819407008087,0.38555197206915437,0.6798119093324629,16
PKIS2,GSK190937,0.6246666666666667,0.45266959753181035,0.796663735801523,12
PKIS2,GSK1917008,0.6178704856787048,0.4895312952718474,0.7462096760855623,22
PKIS2,GSK198271,0.6789854459299374,0.6074154454538817,0.750555446405993,76
PKIS2,GSK2008607,0.6077318483615335,0.5515104437213346,0.6639532530017324,184
PKIS2,GSK204559,0.5544077134986226,0.4321537090414832,0.676661717955762,24
PKIS2,GSK204607,0.3891590389016018,0.268951034065275,0.5093670437379286,19
PKIS2,GSK204919,0.5752190026954178,0.42611944046861017,0.7243185649222255,16
PKIS2,GSK205189,0.6167777777777778,0.44471418786811373,0.7888413676874417,12
PKIS2,GSK2137462,0.5293762088974855,0.35328371322949526,0.7054687045654757,11
PKIS2,GSK2177277,0.6051768607221812,0.5418619577094124,0.6684917637349501,295
PKIS2,GSK2181306,0.5267691129826096,0.46875102324638945,0.5847872027188299,223
PKIS2,GSK2188764,0.5606011808910359,0.5032207050783373,0.6179816567037346,180
PKIS2,GSK2189892,0.6191709844559585,0.029388328722919188,1.208953640188998,1
PKIS2,GSK2192730,0.5121621621621621,0.3706544804291499,0.6536698438951745,17
PKIS2,GSK2193613,0.48533577737043826,0.38447869900409715,0.5861928557367794,34
PKIS2,GSK2197149,0.5535038244610987,0.4833666284598565,0.6236410204623408,86
PKIS2,GSK2206003,0.5523530028298921,0.4702756841443167,0.6344303215154674,58
PKIS2,GSK2219329,0.6169172932330828,0.3927227264996348,0.8411118599665307,7
PKIS2,GSK2221681,0.5564088397790056,0.43641417153560647,0.6764035080224047,25
PKIS2,GSK2224810,0.6039779005524862,0.48317005411958763,0.7247857469853849,25
